payout_id,payout_total,Created,Description,Amount,Currency,Converted Amount,Fees,Net
po_1MVPH5CgQjBmqTNTxcGyBIPv,9986.05,2023-01-27 03:33:32,Order #1000045704 by Nicole  Arrea Pinto,870.0,usd,870.0,25.53,844.47
po_1MVPH5CgQjBmqTNTxcGyBIPv,9986.05,2023-01-26 07:53:27,Order #1000045689 by Karl Brabham,224.25,usd,224.25,6.8,217.45
po_1MVPH5CgQjBmqTNTxcGyBIPv,9986.05,2023-01-26 06:59:32,Order #1000045686 by Mark Bangoy,1049.25,usd,1049.25,41.22,1008.03
po_1MVPH5CgQjBmqTNTxcGyBIPv,9986.05,2023-01-25 22:12:55,Order #1000045666 by Janet Jansen Van Vuuren,224.25,usd,224.25,9.05,215.2
po_1MVPH5CgQjBmqTNTxcGyBIPv,9986.05,2023-01-25 07:20:10,Order #1000045638 by Hugo Valle De Luna,224.25,usd,224.25,6.8,217.45
po_1MVPH5CgQjBmqTNTxcGyBIPv,9986.05,2023-01-25 01:37:09,Order #1000045625 by Justin Tokarz,1012.5,usd,1012.5,29.66,982.84
po_1MVPH5CgQjBmqTNTxcGyBIPv,9986.05,2023-01-25 00:42:25,REFUND FOR CHARGE (Order #1000045392 by Manish Malhotra),-385.5,usd,-385.5,0.0,-385.5
po_1MVPH5CgQjBmqTNTxcGyBIPv,9986.05,2023-01-25 00:28:15,Order #1000045620 by Riana Mandig,224.25,usd,224.25,9.05,215.2
po_1MVPH5CgQjBmqTNTxcGyBIPv,9986.05,2023-01-24 23:25:12,Order #1000045617 by Christina Mahoney,379.0,usd,379.0,11.29,367.71
po_1MSs2KCgQjBmqTNTJdPjzkLw,10286.07,2023-01-20 05:06:05,Order #1000045448 by Edgar Kennedy,299.0,usd,299.0,8.97,290.03
po_1MSs2KCgQjBmqTNTJdPjzkLw,10286.07,2023-01-19 23:17:24,REFUND FOR CHARGE (Order #1000041663 by GEDIZ DOGANCA),-312.0,usd,-312.0,0.0,-312.0
po_1MSs2KCgQjBmqTNTJdPjzkLw,10286.07,2023-01-19 05:05:45,Order #1000045433 by Rafael Murillo Peña,1550.0,usd,1550.0,60.75,1489.25
po_1MSs2KCgQjBmqTNTJdPjzkLw,10286.07,2023-01-19 02:32:33,Order #1000045400 by Amy Jahnke,1394.0,usd,1394.0,40.73,1353.27
po_1MSs2KCgQjBmqTNTJdPjzkLw,10286.07,2023-01-19 02:20:51,REFUND FOR CHARGE (Order #1000045384 by Edgar Kennedy),-299.0,usd,-299.0,0.0,-299.0
po_1MSs2KCgQjBmqTNTJdPjzkLw,10286.07,2023-01-18 21:20:28,Order #1000045395 by Jennifer Shim,388.0,usd,388.0,11.55,376.45
po_1MSs2KCgQjBmqTNTJdPjzkLw,10286.07,2023-01-18 20:43:02,Order #1000045392 by Manish Malhotra,1550.0,usd,1550.0,45.25,1504.75
po_1MSs2KCgQjBmqTNTJdPjzkLw,10286.07,2023-01-18 09:09:55,Order #1000045384 by Edgar Kennedy,299.0,usd,299.0,8.97,290.03
po_1MSs2KCgQjBmqTNTJdPjzkLw,10286.07,2023-01-17 23:39:14,Order #1000042383 by Demetrios Floudas,149.0,usd,149.0,4.62,144.38
po_1MQhFGCgQjBmqTNTh8g5Zm5F,8233.69,2023-01-12 23:52:57,Order #1000042315 by Sarah Donahoe,1240.0,usd,1240.0,36.26,1203.74
po_1MQhFGCgQjBmqTNTh8g5Zm5F,8233.69,2023-01-12 21:49:55,Order #1000042310 by Alberto Recchi,1395.0,usd,1395.0,40.76,1354.24
po_1MQhFGCgQjBmqTNTh8g5Zm5F,8233.69,2023-01-11 03:28:37,Order # 1000042300/Mohamed Fakih,99.0,usd,99.0,3.67,95.33
po_1MQhFGCgQjBmqTNTh8g5Zm5F,8233.69,2023-01-10 21:50:23,Order #1000042297 by Jesse Lee,149.0,usd,149.0,4.62,144.38
po_1MQhFGCgQjBmqTNTh8g5Zm5F,8233.69,2023-01-10 20:04:02,REFUND FOR CHARGE (Order #1000042288 by Mohamed Fakih),-299.0,usd,-299.0,0.0,-299.0
po_1MQhFGCgQjBmqTNTh8g5Zm5F,8233.69,2023-01-10 07:53:07,Order #1000042288 by Mohamed Fakih,299.0,usd,299.0,8.97,290.03
po_1MQhFGCgQjBmqTNTh8g5Zm5F,8233.69,2023-01-10 07:02:53,Order #1000042285 by Mohamed  Fakih,299.0,usd,299.0,8.97,290.03
po_1MQhFGCgQjBmqTNTh8g5Zm5F,8233.69,2023-01-10 02:16:31,Order #1000042280 by Lisa Biggica,379.0,usd,379.0,11.29,367.71
po_1MQhFGCgQjBmqTNTh8g5Zm5F,8233.69,2023-01-09 03:37:32,Order #1000042264 by Lama Alrajhi,339.0,usd,339.0,13.52,325.48
po_1MNnI2CgQjBmqTNTKScWoCLS,4971.17,2023-01-06 02:38:07,Order #1000042207 by Stefania Mussio,792.0,usd,792.0,31.19,760.81
po_1MNnI2CgQjBmqTNTKScWoCLS,4971.17,2023-01-05 23:56:29,Order #1000042199 by Michael Takahashi,299.0,usd,299.0,8.97,290.03
